h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
6.710021e-01	1.761257e-01	1.000000e+00	1.000000e+00	1.187748e-04	62	
7.334951e-01	1.820193e-01	1.000000e+00	1.000000e+00	1.156652e-04	62	
5.707969e-01	1.840801e-01	1.000000e+00	1.000000e+00	1.107916e-04	62	
5.381250e-01	1.797167e-01	1.000000e+00	1.000000e+00	1.146418e-04	62	
5.242918e-01	1.603585e-01	1.000000e+00	1.000000e+00	1.125813e-04	61	
4.890226e-01	1.668831e-01	1.000000e+00	1.000000e+00	1.092154e-04	60	
4.159823e-01	1.619481e-01	1.000000e+00	1.000000e+00	1.131492e-04	60	
5.048855e-01	1.597690e-01	1.000000e+00	1.000000e+00	1.117905e-04	57	
4.960335e-01	1.531721e-01	1.000000e+00	1.000000e+00	1.096405e-04	56	
5.078800e-01	1.484335e-01	1.000000e+00	1.000000e+00	1.165857e-04	55	
4.068522e-01	1.461359e-01	1.000000e+00	1.000000e+00	1.094924e-04	55	
3.477835e-01	1.454308e-01	1.000000e+00	1.000000e+00	1.105888e-04	55	
3.775584e-01	1.288011e-01	1.000000e+00	1.000000e+00	1.052076e-04	54	
4.582422e-01	1.546290e-01	1.000000e+00	1.000000e+00	1.051414e-04	53	
4.169782e-01	1.642085e-01	1.000000e+00	1.000000e+00	1.030126e-04	54	
4.169782e-01	1.642085e-01	1.000000e+00	1.000000e+00	1.030126e-04	54	
5.220316e-01	1.569033e-01	1.000000e+00	1.000000e+00	1.080133e-04	55	
4.881713e-01	1.559616e-01	1.000000e+00	1.000000e+00	1.057979e-04	58	
5.084999e-01	1.712525e-01	1.000000e+00	1.000000e+00	1.145181e-04	57	
4.040552e-01	1.440245e-01	1.000000e+00	1.000000e+00	1.193638e-04	54	
3.270068e-01	1.211543e-01	1.000000e+00	1.000000e+00	1.146968e-04	52	
3.270068e-01	1.211543e-01	1.000000e+00	1.000000e+00	1.146968e-04	52	
2.773590e-01	1.231826e-01	1.000000e+00	1.000000e+00	1.107355e-04	51	
3.301284e-01	1.400359e-01	1.000000e+00	1.000000e+00	1.126176e-04	49	
3.692274e-01	1.261379e-01	1.000000e+00	1.000000e+00	1.099001e-04	50	
2.853985e-01	1.352949e-01	1.000000e+00	1.000000e+00	1.080023e-04	50	
2.465102e-01	1.236934e-01	1.000000e+00	1.000000e+00	1.062560e-04	50	
2.981947e-01	1.217375e-01	1.000000e+00	1.000000e+00	1.045037e-04	51	
2.924363e-01	1.301807e-01	1.000000e+00	1.000000e+00	1.058493e-04	50	
3.717712e-01	1.353393e-01	1.000000e+00	1.000000e+00	1.039713e-04	51	
3.943968e-01	1.178113e-01	1.000000e+00	1.000000e+00	1.136500e-04	51	
2.833137e-01	1.411681e-01	1.000000e+00	1.000000e+00	1.074384e-04	52	
2.833137e-01	1.411681e-01	1.000000e+00	1.000000e+00	1.074384e-04	52	
2.833137e-01	1.411681e-01	1.000000e+00	1.000000e+00	1.074384e-04	52	
2.087639e-01	1.267500e-01	1.000000e+00	1.000000e+00	1.028305e-04	50	
3.297097e-01	1.422978e-01	1.000000e+00	1.000000e+00	1.010795e-04	49	
3.682520e-01	1.321486e-01	1.000000e+00	1.000000e+00	1.083649e-04	49	
3.682520e-01	1.321486e-01	1.000000e+00	1.000000e+00	1.083649e-04	49	
4.737017e-01	1.328256e-01	1.000000e+00	1.000000e+00	1.102566e-04	48	
4.926638e-01	1.273947e-01	1.000000e+00	1.000000e+00	1.104418e-04	49	
3.580759e-01	1.281853e-01	1.000000e+00	1.000000e+00	1.179414e-04	49	
4.211475e-01	1.283927e-01	1.000000e+00	1.000000e+00	1.223463e-04	49	
4.287270e-01	1.349658e-01	1.000000e+00	1.000000e+00	1.203946e-04	51	
4.006012e-01	1.274190e-01	1.000000e+00	1.000000e+00	1.148662e-04	51	
3.545787e-01	1.436988e-01	1.000000e+00	1.000000e+00	1.271295e-04	51	
3.776979e-01	1.243898e-01	1.000000e+00	1.000000e+00	1.267798e-04	51	
3.642544e-01	1.377678e-01	1.000000e+00	1.000000e+00	1.304389e-04	52	
3.642544e-01	1.377678e-01	1.000000e+00	1.000000e+00	1.304389e-04	52	
3.408260e-01	1.229042e-01	1.000000e+00	1.000000e+00	1.242245e-04	50	
3.251874e-01	1.329287e-01	1.000000e+00	1.000000e+00	1.266933e-04	49	
4.713241e-01	1.258004e-01	1.000000e+00	1.000000e+00	1.425871e-04	49	
4.774202e-01	1.370082e-01	1.000000e+00	1.000000e+00	1.361151e-04	50	
4.774202e-01	1.370082e-01	1.000000e+00	1.000000e+00	1.361151e-04	50	
4.607743e-01	1.328471e-01	1.000000e+00	1.000000e+00	1.397858e-04	51	
5.247211e-01	1.228562e-01	1.000000e+00	1.000000e+00	1.264186e-04	53	
5.179730e-01	1.426581e-01	1.000000e+00	1.000000e+00	1.223544e-04	55	
3.812015e-01	1.321741e-01	1.000000e+00	1.000000e+00	1.245826e-04	56	
3.722466e-01	1.358625e-01	1.000000e+00	1.000000e+00	1.170526e-04	58	
3.241133e-01	1.584215e-01	1.000000e+00	1.000000e+00	1.148839e-04	58	
2.679566e-01	1.350981e-01	1.000000e+00	1.000000e+00	1.185465e-04	59	
2.679566e-01	1.350981e-01	1.000000e+00	1.000000e+00	1.185465e-04	59	
2.679566e-01	1.350981e-01	1.000000e+00	1.000000e+00	1.185465e-04	59	
2.848791e-01	1.385103e-01	1.000000e+00	1.000000e+00	1.183155e-04	59	
3.797458e-01	1.368283e-01	1.000000e+00	1.000000e+00	1.133699e-04	59	
3.690868e-01	1.337904e-01	1.000000e+00	1.000000e+00	1.204689e-04	59	
3.585016e-01	1.443963e-01	1.000000e+00	1.000000e+00	1.251210e-04	59	
3.591095e-01	1.378658e-01	1.000000e+00	1.000000e+00	1.261203e-04	60	
3.009715e-01	1.512857e-01	1.000000e+00	1.000000e+00	1.245816e-04	60	
2.903662e-01	1.331355e-01	1.000000e+00	1.000000e+00	1.249337e-04	59	
2.903662e-01	1.331355e-01	1.000000e+00	1.000000e+00	1.249337e-04	59	
3.612851e-01	1.391803e-01	1.000000e+00	1.000000e+00	1.387896e-04	58	
3.787267e-01	1.423487e-01	1.000000e+00	1.000000e+00	1.363510e-04	58	
4.127614e-01	1.480481e-01	1.000000e+00	1.000000e+00	1.304484e-04	58	
3.971706e-01	1.563313e-01	1.000000e+00	1.000000e+00	1.288846e-04	57	
4.137054e-01	1.539549e-01	1.000000e+00	1.000000e+00	1.327484e-04	56	
3.844873e-01	1.411929e-01	1.000000e+00	1.000000e+00	1.328562e-04	57	
2.904335e-01	1.213154e-01	1.000000e+00	1.000000e+00	1.310040e-04	57	
3.611201e-01	1.460279e-01	1.000000e+00	1.000000e+00	1.286317e-04	57	
3.413977e-01	1.479296e-01	1.000000e+00	1.000000e+00	1.317076e-04	56	
3.216301e-01	1.406865e-01	1.000000e+00	1.000000e+00	1.374997e-04	56	
3.633228e-01	1.520151e-01	1.000000e+00	1.000000e+00	1.329111e-04	56	
3.633228e-01	1.520151e-01	1.000000e+00	1.000000e+00	1.329111e-04	56	
3.732666e-01	1.431790e-01	1.000000e+00	1.000000e+00	1.328529e-04	56	
3.481993e-01	1.289710e-01	1.000000e+00	1.000000e+00	1.263639e-04	55	
3.325955e-01	1.403765e-01	1.000000e+00	1.000000e+00	1.227266e-04	55	
3.224189e-01	1.454573e-01	1.000000e+00	1.000000e+00	1.177053e-04	55	
3.280164e-01	1.556767e-01	1.000000e+00	1.000000e+00	1.202118e-04	55	
3.931775e-01	1.493545e-01	1.000000e+00	1.000000e+00	1.195056e-04	54	
3.462696e-01	1.400437e-01	1.000000e+00	1.000000e+00	1.197227e-04	54	
3.296940e-01	1.330762e-01	1.000000e+00	1.000000e+00	1.263573e-04	52	
4.652108e-01	1.316651e-01	1.000000e+00	1.000000e+00	1.300185e-04	52	
4.223156e-01	1.244670e-01	1.000000e+00	1.000000e+00	1.218858e-04	51	
4.142692e-01	1.270259e-01	1.000000e+00	1.000000e+00	1.272451e-04	51	
4.150149e-01	1.374954e-01	1.000000e+00	1.000000e+00	1.223432e-04	50	
4.078720e-01	1.379038e-01	1.000000e+00	1.000000e+00	1.253288e-04	52	
3.442785e-01	1.349056e-01	1.000000e+00	1.000000e+00	1.262855e-04	55	
4.038832e-01	1.414865e-01	1.000000e+00	1.000000e+00	1.240487e-04	54	
